time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1763368438152764700,153.9917646484375,2.3913017596796124,-0.7774373239687862,-0.2573712850936677,-2.9685511208811373,0.45161381474167467,0.35411339024630684,-1.0853785649123318
1763368438162790700,154.00179077148437,2.396245596876187,-0.7717336985374429,-0.2617140002700053,-2.962218652726048,0.4602418311812912,0.35229289426123206,-1.1079118787228734
1763368438172816000,154.01181591796876,2.3975976985006193,-0.765146069249705,-0.2654528762258302,-2.9602840183208383,0.47021513161834344,0.3506905841803081,-1.133146435318904
1763368438182840800,154.0218408203125,2.390198665701853,-0.7577824452755244,-0.26762599395703535,-2.968450304517186,0.48141154336519215,0.3498355390136892,-1.160143991412883
1763368438192865800,154.03186572265625,2.3714864237622817,-0.7497120104639071,-0.2684979097692906,-2.9879662209014533,0.493169537824611,0.35017792667749487,-1.1877070610682865
1763368438202891800,154.04189184570313,2.3414313072472157,-0.7408845413703882,-0.2690079624273378,-3.016976869088384,0.5048629917217206,0.3519065085047527,-1.2151501199494839
1763368438212916700,154.05191674804686,2.2994492447599915,-0.7312339246896679,-0.26949778497881965,-3.055862514300527,0.516498743300234,0.35481952192907346,-1.2425493879250822
1763368438222942000,154.06194189453126,2.244584872504701,-0.72092074809755,-0.2696362371617508,-3.1072378000392726,0.5284376948623208,0.3582222192387321,-1.2700064923804337
1763368438232967000,154.071966796875,2.175624021827965,-0.7101430149874631,-0.26909601439038633,3.109048359177129,0.5410574819460119,0.36130470520391966,-1.2975788063947888
1763368438242991600,154.08199169921875,2.0917488210492694,-0.69913741767129,-0.2677572035506879,3.024216609699265,0.554626694853444,0.36318346130811663,-1.3252741127384573
1763368438253017900,154.09201782226563,1.9922631081866349,-0.6886404634375163,-0.26508541482114806,2.9188309033287947,0.5689037742765551,0.3631149869503806,-1.3515115905685122
1763368438263042800,154.10204272460936,1.8792900873416511,-0.6798045981515392,-0.2601506484859355,2.793185194523641,0.5831223635439508,0.36077096257366337,-1.3731330033681357
1763368438273067800,154.11206787109376,1.7679170269520519,-0.6737610084383252,-0.2525877501017506,2.6609471203565715,0.5965031739329352,0.3555693872012377,-1.388478567241245
1763368438283092700,154.1220927734375,1.676535966954781,-0.6712785070348121,-0.2419172454966105,2.5398403064870543,0.608356239813715,0.3475111673878786,-1.396742448333963
1763368438293117700,154.13211767578125,1.6211016461752135,-0.6722948931305291,-0.22886269126808106,2.450592671917409,0.6171114792510308,0.33884345049905934,-1.39655899927713
1763368438303143700,154.14214379882813,1.5958409802997748,-0.6755866297647668,-0.21419848996324203,2.3940194950010403,0.6219445749913732,0.3329965077582345,-1.3861953803733313
1763368438313168600,154.1521687011719,1.5621967601078677,-0.6777818490806766,-0.19937477385888047,2.336258989820791,0.6251721740528313,0.33169439699952175,-1.3690777142589332
1763368438323193900,154.16219384765625,1.50326538293596,-0.675721915047342,-0.19019859184315144,2.2688928863995246,0.6284985127103084,0.3349836673277511,-1.3550050936899658
1763368438333218800,154.17221875,1.443240782483444,-0.6714513497241075,-0.1860721493522568,2.21592216321185,0.6298375361616977,0.3432710227970277,-1.3403164490906299
